Player,Apps,Mins,Goals,Assists,SpG,Rating,Apps_percentage,Mins_percentage,Goals_percentage,Assists_percentage,GnA_percentage
Agim Ibraimi,0,2,0,0,0,6.12,0.000,0.003,0.000,0.000,0.000
Aleksandar Trajkovski,6,450,3,0,1.75,6.955,0.667,0.594,0.176,0.000,0.111
Arijan Ademi,3,275,1,1,1,7.045,0.333,0.363,0.059,0.100,0.074
Boban Nikolov,6,493,0,0,1.05,6.67,0.667,0.650,0.000,0.000,0.000
Damjan Siskovski,5,469,0,0,0,6.68,0.556,0.619,0.000,0.000,0.000
Darko Micevski,0,29,0,0,0,6.4,0.000,0.038,0.000,0.000,0.000
Darko Velkovski,6,540,0,0,0.7,6.77,0.667,0.712,0.000,0.000,0.000
Dusko Trajcevski,0,6,0,0,1,6.33,0.000,0.008,0.000,0.000,0.000
Egzon Bejtulai,3,345,0,0,0.3,6.49,0.333,0.455,0.000,0.000,0.000
Eljif Elmas,6,535,2,1,1,7.16,0.667,0.706,0.118,0.100,0.111
Enis Bardhi,5,463,1,2,1.2,7.16,0.556,0.611,0.059,0.200,0.111
Ennur Totre,1,86,0,0,0,6.4,0.111,0.113,0.000,0.000,0.000
Ezgjan Alioski,7,606,2,1,0.65,7.05,0.778,0.799,0.118,0.100,0.111
Ferhan Hasani,1,70,0,0,0,6.205,0.111,0.092,0.000,0.000,0.000
Gjoko Zajkov,3,275,1,0,0.5,6.94,0.333,0.363,0.059,0.000,0.037
Goran Pandev,5,448,2,1,1.65,6.74,0.556,0.591,0.118,0.100,0.111
Ilija Nestorovski,4,382,2,1,2,6.56,0.444,0.504,0.118,0.100,0.111
Ivan Trichkovski,4,324,1,0,2,6.45,0.444,0.427,0.059,0.000,0.037
Kire Ristevski,5,420,0,0,0.35,6.72,0.556,0.554,0.000,0.000,0.000
Krste Velkoski,0,24,0,0,0.5,6.14,0.000,0.032,0.000,0.000,0.000
Ljupco Doriev,0,32,0,0,1,6.59,0.000,0.042,0.000,0.000,0.000
Marjan Radeski,1,90,0,0,1,7.54,0.111,0.119,0.000,0.000,0.000
Stefan Askovski,0,24,0,0,1,6.36,0.000,0.032,0.000,0.000,0.000
Stefan Ristovski,9,758,1,2,0.4,6.915,1.000,1.000,0.059,0.200,0.111
Stefan Spirovski,4,366,0,1,0.9,6.445,0.444,0.483,0.000,0.100,0.037
Stole Dimitrievski,4,337,0,0,0,6.155,0.444,0.445,0.000,0.000,0.000
Tihomir Kostadinov,3,258,0,0,0.3,6.43,0.333,0.340,0.000,0.000,0.000
Tome Kitanovski,0,20,0,0,0,6.09,0.000,0.026,0.000,0.000,0.000
Visar Musliu,7,584,0,0,0.15,6.62,0.778,0.770,0.000,0.000,0.000
Vlatko Stojanovski,1,154,1,0,1,6.385,0.111,0.203,0.059,0.000,0.037
Albin Granlund,2,103,0,0,0,6.615,0.250,0.146,0.000,0.000,0.000
Daniel O'Shaughnessy,4,331,0,0,0.35,6.225,0.500,0.469,0.000,0.000,0.000
Fredrik Jensen,1,157,3,0,1,7.06,0.125,0.222,0.300,0.000,0.176
Glen Kamara,8,705,0,0,0.5,6.585,1.000,0.999,0.000,0.000,0.000
Ilmari Niskanen,2,219,0,0,1.3,6.55,0.250,0.310,0.000,0.000,0.000
Jere Uronen,5,383,0,1,0.2,6.49,0.625,0.542,0.000,0.143,0.059
Jesse Joronen,2,180,0,0,0,7.15,0.250,0.255,0.000,0.000,0.000
Joel Pohjanpalo,4,297,0,1,0.8,6.32,0.500,0.421,0.000,0.143,0.059
Joni Kauko,3,225,0,1,0.25,6.69,0.375,0.319,0.000,0.143,0.059
Joona Toivio,6,540,0,0,0.4,6.71,0.750,0.765,0.000,0.000,0.000
Juhani Ojala,2,180,0,0,0.5,6.78,0.250,0.255,0.000,0.000,0.000
Jukka Raitala,3,260,0,0,0.25,6.505,0.375,0.368,0.000,0.000,0.000
Leo Väisänen,2,180,0,0,0.5,6.53,0.250,0.255,0.000,0.000,0.000
Lukás Hrádecky,6,540,0,0,0.2,7.03,0.750,0.765,0.000,0.000,0.000
Marcus Forss,0,56,0,0,0.5,6.04,0.000,0.079,0.000,0.000,0.000
Niko Hämäläinen,2,212,0,0,0.5,6.32,0.250,0.300,0.000,0.000,0.000
Nikolai Alho,4,436,0,0,0.5,6.34,0.500,0.618,0.000,0.000,0.000
Onni Valakari,1,63,0,0,0.5,6.13,0.125,0.089,0.000,0.000,0.000
Paulus Arajuuri,6,540,0,0,0.25,6.93,0.750,0.765,0.000,0.000,0.000
Pyry Soiri,1,116,0,0,0,6.37,0.125,0.164,0.000,0.000,0.000
Rasmus Karjalainen,0,4,0,0,0,6.09,0.000,0.006,0.000,0.000,0.000
Rasmus Schüller,2,231,0,0,0.15,6.61,0.250,0.327,0.000,0.000,0.000
Robert Taylor,5,398,1,2,0.4,6.5,0.625,0.564,0.100,0.286,0.176
Robin Lod,4,347,1,1,1.5,7.53,0.500,0.492,0.100,0.143,0.118
Teemu Pukki,8,706,5,1,3.6,7.48,1.000,1.000,0.500,0.143,0.353
Thomas Lam,0,14,0,0,0,6,0.000,0.020,0.000,0.000,0.000
Tim Sparv,5,423,0,0,0,6.33,0.625,0.599,0.000,0.000,0.000
Adam Zrelák,0,73,0,0,1,6.05,0.000,0.116,0.000,0.000,0.000
Albert Rusnák,3,266,0,0,0.5,6.215,0.429,0.422,0.000,0.000,0.000
Branislav Ninaj,1,90,0,0,0,7.13,0.143,0.143,0.000,0.000,0.000
David Hancko,2,129,0,0,0,6.76,0.286,0.205,0.000,0.000,0.000
David Strelec,0,53,1,0,0.3,6.44,0.000,0.084,0.111,0.000,0.063
Denis Vavro,1,90,0,0,0,6.54,0.143,0.143,0.000,0.000,0.000
Dominik Greif,2,180,0,0,0,5.57,0.286,0.286,0.000,0.000,0.000
Dusan Kuciak,3,270,0,0,0,6.135,0.429,0.429,0.000,0.000,0.000
Erik Sabo,1,67,0,0,0,6.58,0.143,0.106,0.000,0.000,0.000
Ivan Schranz,2,229,1,0,0.6,6.23,0.286,0.363,0.111,0.000,0.063
Jakub Holúbek,1,141,0,0,0,6.51,0.143,0.224,0.000,0.000,0.000
Jakub Hromada,1,61,0,0,0,6.64,0.143,0.097,0.000,0.000,0.000
Jaroslav Mihálik,1,87,0,0,0,6.4,0.143,0.138,0.000,0.000,0.000
Juraj Kucka,7,562,0,0,1.25,6.77,1.000,0.892,0.000,0.000,0.000
Ján Gregus,3,343,1,1,0.75,6.85,0.429,0.544,0.111,0.143,0.125
Lubomír Satka,2,180,0,0,0,6.595,0.286,0.286,0.000,0.000,0.000
Lukas Pauschek,0,1,0,0,0,6,0.000,0.002,0.000,0.000,0.000
Lukas Stetina,1,32,0,0,0,6.88,0.143,0.051,0.000,0.000,0.000
Lukás Haraslín,2,203,0,0,1,6.16,0.286,0.322,0.000,0.000,0.000
Marek Hamsik,4,310,1,0,1.5,6.7,0.571,0.492,0.111,0.000,0.063
Marek Rodák,3,270,0,0,0,7.28,0.429,0.429,0.000,0.000,0.000
Martin Dúbravka,1,90,0,0,0,7.3,0.143,0.143,0.000,0.000,0.000
Martin Koscelnik,4,360,0,0,0.5,6.895,0.571,0.571,0.000,0.000,0.000
Martin Valjent,4,418,0,0,0.15,6.815,0.571,0.663,0.000,0.000,0.000
Matús Bero,3,190,0,1,0.5,6.655,0.429,0.302,0.000,0.143,0.063
Michal Duris,4,340,1,0,1.15,6.425,0.571,0.540,0.111,0.000,0.063
Milan Skriniar,7,630,2,1,0.8,6.995,1.000,1.000,0.222,0.143,0.188
Norbert Gyömbér,3,270,0,0,0,6.23,0.429,0.429,0.000,0.000,0.000
Ondrej Duda,5,419,0,1,0.75,6.875,0.714,0.665,0.000,0.143,0.063
Patrik Hrosovsky,5,499,0,0,0.25,6.635,0.714,0.792,0.000,0.000,0.000
Pavol Safranko,0,62,0,0,0.8,6.24,0.000,0.098,0.000,0.000,0.000
Peter Pekarík,6,540,0,1,0.25,6.64,0.857,0.857,0.000,0.143,0.063
Robert Mazán,2,180,0,0,0.5,6.4,0.286,0.286,0.000,0.000,0.000
Róbert Bozeník,4,329,0,0,1.25,6.145,0.571,0.522,0.000,0.000,0.000
Róbert Mak,4,312,2,1,0.85,7.03,0.571,0.495,0.222,0.143,0.188
Stanislav Lobotka,3,271,0,0,0,6.12,0.429,0.430,0.000,0.000,0.000
Tomas Hubocan,3,270,0,1,0.5,6.75,0.429,0.429,0.000,0.143,0.063
Tomás Suslov,1,100,0,0,1,6.26,0.143,0.159,0.000,0.000,0.000
Adam Gyurcsó,0,38,0,1,0,6.37,0.000,0.053,0.000,0.091,0.036
András Schäfer,0,70,0,0,0,6.31,0.000,0.097,0.000,0.000,0.000
Attila Fiola,4,405,1,1,0.5,6.865,0.500,0.563,0.059,0.091,0.071
Attila Szalai,8,720,0,1,0.55,7.18,1.000,1.000,0.000,0.091,0.036
Barnabás Bese,3,224,0,1,1,6.72,0.375,0.311,0.000,0.091,0.036
Daniel Gazdag,3,246,1,0,0.75,6.78,0.375,0.342,0.059,0.000,0.036
Dominik Szoboszlai,3,250,1,0,4.3,7.26,0.375,0.347,0.059,0.000,0.036
Dávid Miklós Sigér,6,472,1,0,0.85,6.555,0.750,0.656,0.059,0.000,0.036
Dénes Dibusz,5,450,0,0,0,6.69,0.625,0.625,0.000,0.000,0.000
Endre Botka,4,361,0,1,0.15,7.285,0.500,0.501,0.000,0.091,0.036
Filip Holender,4,355,0,0,0.8,6.65,0.500,0.493,0.000,0.000,0.000
Gergo Lovrencsics,2,149,0,0,1,6.71,0.250,0.207,0.000,0.000,0.000
Kevin Varga,1,171,1,0,0.9,6.79,0.125,0.238,0.059,0.000,0.036
Krisztián Géresi,0,5,0,0,0,6.14,0.000,0.007,0.000,0.000,0.000
Loic Nego,3,302,1,0,0.65,6.575,0.375,0.419,0.059,0.000,0.036
László Kleinheisler,2,200,1,0,2.3,6.74,0.250,0.278,0.059,0.000,0.036
Nemanja Nikolic,5,406,2,3,0.75,6.975,0.625,0.564,0.118,0.273,0.179
Norbert Konyves,2,150,1,0,0.8,6.36,0.250,0.208,0.059,0.000,0.036
Péter Gulácsi,4,360,0,0,0,6.015,0.500,0.500,0.000,0.000,0.000
Roland Sallai,4,333,3,0,3.5,7.27,0.500,0.463,0.176,0.000,0.107
Roland Varga,0,47,0,0,1,6.55,0.000,0.065,0.000,0.000,0.000
Szilveszter Hangya,4,298,0,0,0,6.39,0.500,0.414,0.000,0.000,0.000
Tamas Cseri,1,99,0,0,0,6.425,0.125,0.138,0.000,0.000,0.000
Willi Orban,5,484,1,0,0.9,6.94,0.625,0.672,0.059,0.000,0.036
Zsolt Kalmár,6,512,1,1,0.85,6.945,0.750,0.711,0.059,0.091,0.071
Ádám Lang,6,564,0,1,0.25,6.51,0.750,0.783,0.000,0.091,0.036
Ádám Nagy,7,646,0,0,0,6.525,0.875,0.897,0.000,0.000,0.000
Ádám Szalai,6,512,2,1,2.25,6.925,0.750,0.711,0.118,0.091,0.107
Ákos Kecskés,1,90,0,0,0,6.57,0.125,0.125,0.000,0.000,0.000
Andrew Considine,3,248,0,0,0.3,6.88,0.375,0.344,0.000,0.000,0.000
Andrew Robertson,7,630,0,1,0.5,6.895,0.875,0.875,0.000,0.100,0.045
Callum McGregor,5,465,0,0,0.65,6.7,0.625,0.646,0.000,0.000,0.000
Callum Paterson,0,39,0,0,0.3,6.14,0.000,0.054,0.000,0.000,0.000
Che Adams,2,172,1,1,1.3,6.86,0.250,0.239,0.083,0.100,0.091
Craig Gordon,2,180,0,0,0,6.66,0.250,0.250,0.000,0.000,0.000
David Marshall,7,630,0,0,0,6.62,0.875,0.875,0.000,0.000,0.000
Declan Gallagher,3,253,0,0,1,7.18,0.375,0.351,0.000,0.000,0.000
Grant Hanley,3,270,1,0,1,7.11,0.375,0.375,0.083,0.000,0.045
Greg Taylor,1,79,0,0,0,6.89,0.125,0.110,0.000,0.000,0.000
Jack Hendry,2,136,0,0,0,6.19,0.250,0.189,0.000,0.000,0.000
James Forrest,1,90,0,0,1,6.3,0.125,0.125,0.000,0.000,0.000
John Fleck,2,160,0,0,0,6.375,0.250,0.222,0.000,0.000,0.000
John McGinn,8,671,3,0,1.45,7.205,1.000,0.932,0.250,0.000,0.136
Kenny McLean,4,406,0,0,0.55,6.735,0.500,0.564,0.000,0.000,0.000
Kevin Nisbet,0,22,0,0,0,5.96,0.000,0.031,0.000,0.000,0.000
Kieran Tierney,6,529,0,3,0.65,7.25,0.750,0.735,0.000,0.300,0.136
Lawrence Shankland,0,3,0,0,0,6.23,0.000,0.004,0.000,0.000,0.000
Leigh Griffiths,0,51,0,0,2,6.37,0.000,0.071,0.000,0.000,0.000
Liam Cooper,2,180,0,0,0,7.29,0.250,0.250,0.000,0.000,0.000
Liam Palmer,2,191,0,1,0.5,6.48,0.250,0.265,0.000,0.100,0.045
Lyndon Dykes,7,501,2,1,0.5,6.74,0.875,0.696,0.167,0.100,0.136
Oliver Burke,0,33,0,0,0,6.03,0.000,0.046,0.000,0.000,0.000
Oliver McBurnie,1,179,0,0,0.9,6.37,0.125,0.249,0.000,0.000,0.000
Paul Hanlon,0,11,0,0,0,6.44,0.000,0.015,0.000,0.000,0.000
Ryan Christie,5,493,2,1,2.15,7.38,0.625,0.685,0.167,0.100,0.136
Ryan Fraser,4,320,3,0,1.75,7.175,0.500,0.444,0.250,0.000,0.136
Ryan Jack,3,271,0,0,0.3,6.76,0.375,0.376,0.000,0.000,0.000
Scott McKenna,3,298,0,0,0.25,6.34,0.375,0.414,0.000,0.000,0.000
Scott McTominay,8,720,0,0,1.05,6.895,1.000,1.000,0.000,0.000,0.000
Stephen O'Donnell,5,433,0,2,0.9,6.77,0.625,0.601,0.000,0.200,0.091
Stuart Armstrong,3,248,0,0,1.65,6.235,0.375,0.344,0.000,0.000,0.000
Aleksandr Erokhin,1,110,0,0,1.5,6.07,0.125,0.155,0.000,0.000,0.000
Aleksandr Golovin,3,229,0,0,1,7.37,0.375,0.322,0.000,0.000,0.000
Aleksey Ionov,5,370,0,0,0.5,5.815,0.625,0.520,0.000,0.000,0.000
Aleksey Miranchuk,2,231,0,1,0.25,6.57,0.250,0.325,0.000,0.091,0.038
Alexander Sobolev,0,41,1,0,0.75,6.505,0.000,0.058,0.067,0.000,0.038
Andrey Mostovoy,0,132,0,0,0.35,6.065,0.000,0.186,0.000,0.000,0.000
Andrey Semenov,8,641,0,1,0,6.74,1.000,0.902,0.000,0.091,0.038
Anton Miranchuk,4,280,2,0,0.8,6.61,0.500,0.394,0.133,0.000,0.077
Anton Shunin,7,630,0,0,0,6.655,0.875,0.886,0.000,0.000,0.000
Anton Zabolotny,2,146,0,0,2.25,6.365,0.250,0.205,0.000,0.000,0.000
Artem Dzyuba,7,619,5,2,3,7.88,0.875,0.871,0.333,0.182,0.269
Daler Kuzyaev,8,599,1,3,0.9,6.97,1.000,0.842,0.067,0.273,0.154
Daniil Fomin,1,69,0,1,1,6.56,0.125,0.097,0.000,0.091,0.038
Denis Cheryshev,1,86,1,0,1.7,6.17,0.125,0.121,0.067,0.000,0.038
Fedor Kudryashov,6,540,0,0,0,6.41,0.750,0.759,0.000,0.000,0.000
Georgi Dzhikiya,7,630,0,0,0.75,6.345,0.875,0.886,0.000,0.000,0.000
Guilherme,2,136,0,0,0,5.52,0.250,0.191,0.000,0.000,0.000
Igor Diveev,1,46,0,0,0,5.43,0.125,0.065,0.000,0.000,0.000
Igor Smolnikov,1,90,0,0,0,6.92,0.125,0.127,0.000,0.000,0.000
Ilzat Akhmetov,1,90,0,0,0,7.69,0.125,0.127,0.000,0.000,0.000
Ivan Oblyakov,0,45,0,0,1,6.44,0.000,0.063,0.000,0.000,0.000
Magomed Ozdoev,8,711,1,0,0.75,6.86,1.000,1.000,0.067,0.000,0.038
Maksim Mukhin,0,4,0,0,0,6.06,0.000,0.006,0.000,0.000,0.000
Mario Fernandes,5,450,3,0,1.1,7.305,0.625,0.633,0.200,0.000,0.115
Rifat Zhemaletdinov,2,177,0,0,0.3,6.37,0.250,0.249,0.000,0.000,0.000
Roman Evgeniev,0,45,0,0,0,6.09,0.000,0.063,0.000,0.000,0.000
Roman Neustädter,0,13,0,0,0,5.43,0.000,0.018,0.000,0.000,0.000
Roman Zobnin,5,439,0,2,1,7.01,0.625,0.617,0.000,0.182,0.077
Soslan Dzhanaev,0,45,0,0,0,6.48,0.000,0.063,0.000,0.000,0.000
Vyacheslav Karavaev,4,474,1,1,0.65,6.54,0.500,0.667,0.067,0.091,0.077
Yuri Gazinskiy,0,66,0,0,0,6.09,0.000,0.093,0.000,0.000,0.000
Yuri Zhirkov,7,564,0,0,0.85,6.46,0.875,0.793,0.000,0.000,0.000
Zelimkhan Bakaev,1,103,0,0,0.5,6.44,0.125,0.145,0.000,0.000,0.000
Anatolii Trubin,1,90,0,0,0,5.96,0.143,0.143,0.000,0.000,0.000
Andriy Pyatov,3,270,0,0,0,6.12,0.429,0.429,0.000,0.000,0.000
Andriy Yarmolenko,4,328,1,1,1.3,6.77,0.571,0.521,0.125,0.143,0.133
Artem Dovbyk,0,9,0,0,1,6.38,0.000,0.014,0.000,0.000,0.000
Bogdan Mykhaylichenko,3,286,0,1,0.15,6.575,0.429,0.454,0.000,0.143,0.067
Eduard Sobol,4,360,0,0,0,6.285,0.571,0.571,0.000,0.000,0.000
Georgi Bushchan,4,360,0,0,0,7.04,0.571,0.571,0.000,0.000,0.000
Ihor Kharatin,1,67,0,0,0,5.82,0.143,0.106,0.000,0.000,0.000
Illia Zabarnyi,5,450,0,0,0,6.46,0.714,0.714,0.000,0.000,0.000
Júnior Moraes,2,214,1,0,1.65,6.515,0.286,0.340,0.125,0.000,0.067
Marlos Romero Bonfim,2,222,0,0,0.85,6.475,0.286,0.352,0.000,0.000,0.000
Mykola Matvienko,6,540,0,0,0,6.665,0.857,0.857,0.000,0.000,0.000
Mykola Shaparenko,3,270,0,0,0.25,6.45,0.429,0.429,0.000,0.000,0.000
Oleksandr Karavaev,5,447,0,2,0.5,6.73,0.714,0.710,0.000,0.286,0.133
Oleksandr Tymchyk,2,183,0,1,0.25,6.32,0.286,0.290,0.000,0.143,0.067
Oleksandr Zinchenko,6,536,1,1,1.85,6.865,0.857,0.851,0.125,0.143,0.133
Oleksandr Zubkov,3,245,0,1,0.85,6.355,0.429,0.389,0.000,0.143,0.067
Roman Yaremchuk,7,610,2,0,1.75,6.63,1.000,0.968,0.250,0.000,0.133
Ruslan Malinovskiy,7,630,1,0,3,6.9,1.000,1.000,0.125,0.000,0.067
Serhii Kryvtsov,4,360,0,0,0.5,6.305,0.571,0.571,0.000,0.000,0.000
Serhiy Sydorchuk,4,317,1,0,0.25,6.76,0.571,0.503,0.125,0.000,0.067
Taras Stepanenko,2,159,0,0,0.5,7.04,0.286,0.252,0.000,0.000,0.000
Viktor Kovalenko,1,142,0,0,0,6.16,0.143,0.225,0.000,0.000,0.000
Viktor Tsygankov,1,128,1,0,0.7,6.4,0.143,0.203,0.125,0.000,0.067
Vitalii Mykolenko,4,358,0,0,0.5,6.16,0.571,0.568,0.000,0.000,0.000
Yevhen Konoplyanka,1,54,0,0,1,6.39,0.143,0.086,0.000,0.000,0.000
Yevhenii Makarenko,2,195,0,0,0,6.645,0.286,0.310,0.000,0.000,0.000
Yukhym Konoplya,1,90,0,0,0,5.92,0.143,0.143,0.000,0.000,0.000
Adrian Grbic,1,151,2,1,0.5,6.295,0.111,0.190,0.143,0.091,0.120
Aleksandar Dragovic,6,546,1,0,0.35,6.67,0.667,0.686,0.071,0.000,0.040
Alessandro Schöpf,1,103,1,0,1.5,6.91,0.111,0.129,0.071,0.000,0.040
Alexander Schlager,5,450,0,0,0,5.705,0.556,0.565,0.000,0.000,0.000
Andreas Ulmer,6,520,0,1,0.4,6.45,0.667,0.653,0.000,0.091,0.040
Christoph Baumgartner,7,616,2,2,3.25,7.52,0.778,0.774,0.143,0.182,0.160
Christoph Monschein,0,9,0,0,1,6.03,0.000,0.011,0.000,0.000,0.000
Christopher Trimmel,0,31,0,0,0,6.21,0.000,0.039,0.000,0.000,0.000
David Alaba,7,604,0,1,1.3,6.965,0.778,0.759,0.000,0.091,0.040
Ercan Kara,0,16,0,0,0,5.97,0.000,0.020,0.000,0.000,0.000
Florian Grillitsch,3,274,0,0,0.5,6.71,0.333,0.344,0.000,0.000,0.000
Gernot Trauner,2,181,0,0,0.5,6.385,0.222,0.227,0.000,0.000,0.000
Julian Baumgartlinger,5,399,0,0,0.3,6.53,0.556,0.501,0.000,0.000,0.000
Karim Onisiwo,1,131,1,0,0.5,6.37,0.111,0.165,0.071,0.000,0.040
Louis Schaub,1,119,1,0,0.75,6.785,0.111,0.149,0.071,0.000,0.040
Marcel Sabitzer,6,540,1,0,3.25,6.73,0.667,0.678,0.071,0.000,0.040
Marco Friedl,0,8,0,0,0,5.97,0.000,0.010,0.000,0.000,0.000
Marko Arnautovic,1,117,0,2,5,7.03,0.111,0.147,0.000,0.182,0.080
Martin Hinteregger,6,453,0,1,0.5,6.8,0.667,0.569,0.000,0.091,0.040
Michael Gregoritsch,5,412,2,0,1.2,6.485,0.556,0.518,0.143,0.000,0.080
Pavao Pervan,4,360,0,0,0,6.7,0.444,0.452,0.000,0.000,0.000
Philipp Lienhart,1,90,0,0,0,6.75,0.111,0.113,0.000,0.000,0.000
Reinhold Ranftl,2,221,0,0,1.3,6.55,0.222,0.278,0.000,0.000,0.000
Sasa Kalajdzic,3,236,3,0,1.35,6.785,0.333,0.296,0.214,0.000,0.120
Stefan Ilsanker,7,596,0,0,0.55,6.76,0.778,0.749,0.000,0.000,0.000
Stefan Lainer,9,796,0,3,0.9,6.9,1.000,1.000,0.000,0.273,0.120
Stefan Posch,2,225,0,0,0.5,6.385,0.222,0.283,0.000,0.000,0.000
Valentino Lazaro,0,25,0,0,0,5.92,0.000,0.031,0.000,0.000,0.000
Xaver Schlager,8,680,0,0,0.85,6.295,0.889,0.854,0.000,0.000,0.000
Yusuf Demir,0,5,0,0,0,6.28,0.000,0.006,0.000,0.000,0.000
