,price,points,position,team,team_pr,team_GF,team_GA,opponent,opponent_pr,opponent_GF,opponent_GA,Apps,Mins,Goals,Assists,SpG,Rating,Apps%,Mins%,Goals%,Assists%,GnA%,name_e,is_penalty_taker,is_starter
הוגו לוריס,10,0,GK,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,9,810,0,0,0.0,6.75,1.0,1.0,0.0,0.0,0.0,Hugo Lloris,0,0
אונאי סימון,9,0,GK,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,5,450,0,0,0.0,6.12,0.7142857142857143,0.7020280811232449,0.0,0.0,0.0,Unai Simón,0,0
מנואל נוייר,9,0,GK,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,6,540,0,0,0.0,6.505,0.75,0.7366984993178718,0.0,0.0,0.0,Manuel Neuer,0,0
ג'אנלואיג'י דונארומה,8,0,GK,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,9,810,0,0,0.0,6.865,1.0,1.0,0.0,0.0,0.0,Gianluigi Donnarumma,0,0
ג'ורדן פיקפורד,8,0,GK,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,6,540,0,0,0.0,6.35,0.75,0.7648725212464589,0.0,0.0,0.0,Jordan Pickford,0,0
דומיניק ליבאקוביץ',7,0,GK,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,9,810,0,0,0.0,6.390000000000001,1.0,1.0,0.0,0.0,0.0,Dominik Livakovic,0,0
ווייצ'ך שצ'סני,7,0,GK,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,6,540,0,0,0.0,6.45,0.75,0.7180851063829787,0.0,0.0,0.0,Wojciech Szczesny,0,0
יאן זומר,7,0,GK,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,630,0,0,0.0,6.475,1.0,1.0,0.0,0.0,0.0,Yann Sommer,0,1
קספר שמייכל,7,0,GK,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,9,766,0,0,0.0,6.65,1.0,1.0,0.0,0.0,0.0,Kasper Schmeichel,0,1
אנטון שונין,6,0,GK,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,7,630,0,0,0.0,6.655,0.875,0.8860759493670886,0.0,0.0,0.0,Anton Shunin,0,1
רובין אולסן,6,0,GK,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,6,540,0,0,0.0,6.39,0.75,0.7736389684813754,0.0,0.0,0.0,Robin Olsen,0,0
תומאש ואצליק,6,0,GK,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,586,0,0,0.0,6.48,1.0,0.9301587301587302,0.0,0.0,0.0,Tomás Vaclik,0,0
לוקאס הרדצקי,4,0,GK,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,6,540,0,0,0.2,7.03,0.75,0.7648725212464589,0.0,0.0,0.0,Lukás Hrádecky,0,1
דייויד מרשל,3,0,GK,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,7,630,0,0,0.0,6.619999999999999,0.875,0.875,0.0,0.0,0.0,David Marshall,0,0
אנטוניו רודיגר,9,0,D,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,8,720,0,1,0.85,6.83,1.0,0.9822646657571623,0.0,0.08333333333333333,0.037037037037037035,Antonio Rüdiger,0,0
ז'ואאו קאנסלו,8,0,D,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,632,1,2,1.25,7.285,0.7777777777777778,0.7802469135802469,0.058823529411764705,0.14285714285714285,0.0967741935483871,João Cancelo,0,0
טובי אלדרווירלד,8,0,D,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,9,810,0,1,0.75,7.105,1.0,1.0,0.0,0.05,0.020833333333333332,Toby Alderweireld,0,1
רובן דיאס,8,0,D,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,9,810,2,0,0.9,7.050000000000001,1.0,1.0,0.11764705882352941,0.0,0.06451612903225806,Rúben Dias,0,0
תומא מונייה,8,0,D,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,6,540,0,2,0.4,7.305,0.6666666666666666,0.6666666666666666,0.0,0.1,0.041666666666666664,Thomas Meunier,0,1
דיאן לוברן,7,0,D,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,7,630,1,0,0.45,6.955,0.7777777777777778,0.7777777777777778,0.08333333333333333,0.0,0.05,Dejan Lovren,0,0
קמיל גליק,7,0,D,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,8,752,1,0,0.65,6.805,1.0,1.0,0.07692307692307693,0.0,0.038461538461538464,Kamil Glik,0,0
ריקרדו רודריגס,7,0,D,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,604,0,1,0.7,7.125,1.0,0.9587301587301588,0.0,0.125,0.05555555555555555,Ricardo Rodríguez,1,1
אנדי רוברטסון,6,0,D,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,7,630,0,1,0.5,6.895,0.875,0.875,0.0,0.1,0.045454545454545456,Andrew Robertson,0,0
ולדימיר צופאל,6,0,D,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,627,1,1,0.55,6.975,1.0,0.9952380952380953,0.06666666666666667,0.08333333333333333,0.07407407407407407,Vladimir Coufal,0,0
מילאן שקריניאר,6,0,D,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,7,630,2,1,0.8,6.994999999999999,1.0,1.0,0.2222222222222222,0.14285714285714285,0.1875,Milan Skriniar,0,0
צ'לאר סויונג'ו,6,0,D,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,5,450,1,0,0.4,6.824999999999999,0.625,0.6637168141592921,0.0625,0.0,0.04,Çaglar Söyüncü,0,1
קירן טריפייר,6,0,D,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,5,470,0,1,0.1,6.795,0.625,0.6657223796033994,0.0,0.07692307692307693,0.034482758620689655,Kieran Trippier,0,0
שטפן ליינר,6,0,D,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,9,796,0,3,0.9,6.9,1.0,1.0,0.0,0.2727272727272727,0.12,Stefan Lainer,0,1
אומוט מראש,5,0,D,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,4,447,0,1,0.15,6.775,0.5,0.6592920353982301,0.0,0.1111111111111111,0.04,Umut Meras,0,1
אזגיאן אליוסקי,5,0,D,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,7,606,2,1,0.65,7.050000000000001,0.7777777777777778,0.7994722955145118,0.11764705882352941,0.1,0.1111111111111111,Ezgjan Alioski,1,1
סטפן ריסטובסקי,5,0,D,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,9,758,1,2,0.4,6.915,1.0,1.0,0.058823529411764705,0.2,0.1111111111111111,Stefan Ristovski,0,1
קירן טיירני,5,0,D,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,6,529,0,3,0.65,7.25,0.75,0.7347222222222223,0.0,0.3,0.13636363636363635,Kieran Tierney,0,0
אטילה סאלאי,4,0,D,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,8,720,0,1,0.55,7.18,1.0,1.0,0.0,0.09090909090909091,0.03571428571428571,Attila Szalai,0,0
ווילי אורבאן,4,0,D,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,5,484,1,0,0.9,6.9399999999999995,0.625,0.6722222222222223,0.058823529411764705,0.0,0.03571428571428571,Willi Orban,0,0
אנטואן גרייזמן,13,0,M,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,9,760,4,1,1.85,7.49,1.0,0.9382716049382716,0.2857142857142857,0.125,0.22727272727272727,Antoine Griezmann,0,0
קווין דה בריינה,13,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,6,513,2,4,2.0,7.63,0.6666666666666666,0.6333333333333333,0.07142857142857142,0.2,0.125,Kevin De Bruyne,0,1
לירוי סאנה,12,0,M,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,7,515,1,1,1.15,7.035,0.875,0.7025920873124147,0.06666666666666667,0.08333333333333333,0.07407407407407407,Leroy Sané,0,0
ברונו פרננדש,11,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,7,601,0,1,2.75,7.27,0.7777777777777778,0.7419753086419754,0.0,0.07142857142857142,0.03225806451612903,Bruno Fernandes,0,0
ברנרדו סילבה,11,0,M,פורטוגל,0.823428402144593,0,0,הונגריה,0.15166163251232578,0,0,8,573,1,2,1.35,7.05,0.8888888888888888,0.7074074074074074,0.058823529411764705,0.14285714285714285,0.0967741935483871,Bernardo Silva,0,0
לורנצו אינסינייה,11,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,6,533,0,5,2.9,7.494999999999999,0.6666666666666666,0.6580246913580247,0.0,0.5,0.21739130434782608,Lorenzo Insigne,0,1
פראן טורס,11,0,M,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,7,641,6,0,3.25,7.315,1.0,1.0,0.3157894736842105,0.0,0.17142857142857143,Ferran Torres,0,0
ראחים סטרלינג,11,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,5,406,2,0,2.35,7.595000000000001,0.625,0.5750708215297451,0.125,0.0,0.06896551724137931,Raheem Sterling,0,0
איבן פרישיץ',10,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,7,641,1,2,1.4,6.925,0.7777777777777778,0.7913580246913581,0.08333333333333333,0.25,0.15,Ivan Perisic,0,0
דני אולמו,10,0,M,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,6,501,2,1,2.5,7.01,0.8571428571428571,0.781591263650546,0.10526315789473684,0.0625,0.08571428571428572,Dani Olmo,0,0
אילקאי גונדואן,9,0,M,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,7,614,3,0,1.1,7.265000000000001,0.875,0.8376534788540245,0.2,0.0,0.1111111111111111,Ilkay Gündogan,1,0
אמיל פורסברג,9,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,6,545,0,1,2.4,6.895,0.75,0.7808022922636103,0.0,0.16666666666666666,0.06666666666666667,Emil Forsberg,0,0
כריסטיאן אריקסן,9,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,733,4,0,2.05,7.055,0.8888888888888888,0.9569190600522193,0.2,0.0,0.12903225806451613,Christian Eriksen,1,1
לאון גורצקה,9,0,M,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,7,582,2,2,2.5,7.055,0.875,0.7939972714870396,0.13333333333333333,0.16666666666666666,0.14814814814814814,Leon Goretzka,0,0
מייסון מאונט,9,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,7,552,3,1,1.8,7.17,0.875,0.7818696883852692,0.1875,0.07692307692307693,0.13793103448275862,Mason Mount,0,0
ניקולה ולאשיץ',9,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,8,707,2,1,2.0,7.04,0.8888888888888888,0.8728395061728395,0.16666666666666666,0.125,0.15,Nikola Vlasic,0,0
שרדאן שאקירי,9,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,4,324,1,1,1.5,7.085,0.5714285714285714,0.5142857142857142,0.1,0.125,0.1111111111111111,Xherdan Shaqiri,0,1
ג'ורג'יניו ווינאלדום,8,0,M,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,9,773,4,1,3.05,7.305,1.0,0.9543209876543209,0.2222222222222222,0.07142857142857142,0.15625,Georginio Wijnaldum,0,1
דויד אלאבה,8,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,7,604,0,1,1.3,6.965,0.7777777777777778,0.7587939698492462,0.0,0.09090909090909091,0.04,David Alaba,0,1
הקאן צ'לאנולו,8,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,8,659,3,4,2.45,7.32,1.0,0.971976401179941,0.1875,0.4444444444444444,0.28,Hakan Calhanoglu,0,1
טורגן הזאר,8,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,6,496,1,2,0.9,7.26,0.6666666666666666,0.6123456790123457,0.03571428571428571,0.1,0.0625,Thorgan Hazard,0,1
לוקה מודריץ',8,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,6,576,1,0,1.05,7.165,0.6666666666666666,0.7111111111111111,0.08333333333333333,0.0,0.05,Luka Modric,1,0
אדריין ראביו,7,0,M,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,7,633,0,1,1.0,7.025,0.7777777777777778,0.7814814814814814,0.0,0.125,0.045454545454545456,Adrien Rabiot,0,0
אנגולו קאנטה,7,0,M,צרפת,0.9571898174009289,0,0,גרמניה,0.7603312730167239,0,0,5,423,1,0,0.15,7.359999999999999,0.5555555555555556,0.5222222222222223,0.07142857142857142,0.0,0.045454545454545456,N'Golo Kanté,0,0
יורי טיילמנס,7,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,7,647,2,0,0.85,6.970000000000001,0.7777777777777778,0.7987654320987654,0.07142857142857142,0.0,0.041666666666666664,Youri Tielemans,0,0
כריסטוף באומגרטנר,7,0,M,אוסטריה,0.4274293041742171,0,0,צפון מקדוניה,0.02757270071027259,0,0,7,616,2,2,3.25,7.52,0.7777777777777778,0.7738693467336684,0.14285714285714285,0.18181818181818182,0.16,Christoph Baumgartner,0,1
תומאש סוצ'ק,7,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,630,4,0,1.9,7.744999999999999,1.0,1.0,0.26666666666666666,0.0,0.14814814814814814,Tomas Soucek,0,0
ז'ורז'יניו,6,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,5,450,1,0,0.4,7.04,0.5555555555555556,0.5555555555555556,0.07692307692307693,0.0,0.043478260869565216,Jorginho,0,1
רודרי,6,0,M,ספרד,0.7863741106464169,0,0,שבדיה,0.6155543021008592,0,0,4,349,1,0,0.65,6.885,0.5714285714285714,0.5444617784711389,0.05263157894736842,0.0,0.02857142857142857,Rodri,0,0
אוזאן טופאן,6,0,M,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,8,660,3,0,1.6,7.215,1.0,0.9734513274336283,0.1875,0.0,0.12,Ozan Tufan,0,1
אונדרי דודה,6,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,5,419,0,1,0.75,6.875,0.7142857142857143,0.665079365079365,0.0,0.14285714285714285,0.0625,Ondrej Duda,0,0
אליף אלמאס,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,6,535,2,1,1.0,7.16,0.6666666666666666,0.7058047493403694,0.11764705882352941,0.1,0.1111111111111111,Eljif Elmas,0,1
אלכסנדר טראיקובסקי,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,6,450,3,0,1.75,6.955,0.6666666666666666,0.5936675461741425,0.17647058823529413,0.0,0.1111111111111111,Aleksandar Trajkovski,0,0
אניס בארדי,6,0,M,צפון מקדוניה,0.02757270071027259,0,0,אוסטריה,0.4274293041742171,0,0,5,463,1,2,1.2,7.16,0.5555555555555556,0.6108179419525066,0.058823529411764705,0.2,0.1111111111111111,Enis Bardhi,0,1
אקסל ויטסל,6,0,M,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,5,450,1,0,1.4,7.03,0.5555555555555556,0.5555555555555556,0.03571428571428571,0.0,0.020833333333333332,Axel Witsel,0,0
ג'ון מגין,6,0,M,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,8,671,3,0,1.45,7.205,1.0,0.9319444444444445,0.25,0.0,0.13636363636363635,John McGinn,0,0
גרניט ג'אקה,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,630,0,1,1.1,6.965,1.0,1.0,0.0,0.125,0.05555555555555555,Granit Xhaka,0,1
דניאל ג'יימס,6,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,8,670,2,2,1.6,7.035,1.0,0.9305555555555556,0.2222222222222222,0.2222222222222222,0.2222222222222222,Daniel James,0,1
דקלאן רייס,6,0,M,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,8,706,1,0,0.5,7.27,1.0,1.0,0.0625,0.0,0.034482758620689655,Declan Rice,0,0
ולדימיר דארידה,6,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,7,624,1,3,1.65,7.359999999999999,1.0,0.9904761904761905,0.06666666666666667,0.25,0.14814814814814814,Vladimír Darida,1,0
יאקוב יאנקטו,6,0,M,צ`כיה,0.4328339833197214,0,0,סקוטלנד,0.18797231776519688,0,0,6,432,1,3,2.65,7.025,0.8571428571428571,0.6857142857142857,0.06666666666666667,0.25,0.14814814814814814,Jakub Jankto,0,0
מתאו קובאצ'יץ',6,0,M,קרואטיה,0.5556789126350667,0,0,אנגליה,0.8693609080358129,0,0,7,638,2,1,0.5,7.18,0.7777777777777778,0.7876543209876543,0.16666666666666666,0.125,0.15,Mateo Kovacic,0,0
ניקולו בארלה,6,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,7,673,1,1,0.6,7.02,0.7777777777777778,0.8308641975308642,0.07692307692307693,0.1,0.08695652173913043,Nicolò Barella,0,1
סרגיי סידורצ'וק,6,0,M,אוקראינה,0.398685614063681,0,0,הולנד,0.7444165802422154,0,0,4,317,1,0,0.25,6.76,0.5714285714285714,0.5031746031746032,0.125,0.0,0.06666666666666667,Serhiy Sydorchuk,0,0
רוברט מאק,6,0,M,סלובקיה,0.12769003786816638,0,0,פולין,0.43606352344699884,0,0,4,312,2,1,0.85,7.029999999999999,0.5714285714285714,0.49523809523809526,0.2222222222222222,0.14285714285714285,0.1875,Róbert Mak,0,0
רמו פרוילר,6,0,M,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,5,413,2,1,0.6,7.0,0.7142857142857143,0.6555555555555556,0.2,0.125,0.16666666666666666,Remo Freuler,0,1
דאלר קוזיאייב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,8,599,1,3,0.9,6.970000000000001,1.0,0.8424753867791842,0.06666666666666667,0.2727272727272727,0.15384615384615385,Daler Kuzyaev,0,0
מגומד אוזדויב,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,8,711,1,0,0.75,6.859999999999999,1.0,1.0,0.06666666666666667,0.0,0.038461538461538464,Magomed Ozdoev,0,1
מנואל לוקאטלי,5,0,M,איטליה,0.9208837109446589,0,0,טורקיה,0.6337932201305448,0,0,5,502,1,2,1.1,7.155,0.5555555555555556,0.6197530864197531,0.07692307692307693,0.2,0.13043478260869565,Manuel Locatelli,0,0
סבסטיאן לארסון,5,0,M,שבדיה,0.6155543021008592,0,0,ספרד,0.7863741106464169,0,0,5,436,1,1,0.85,6.85,0.625,0.6246418338108882,0.1111111111111111,0.16666666666666666,0.13333333333333333,Sebastian Larsson,1,0
פייר-אמיל הויביירג,5,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,6,555,1,2,0.7,7.4399999999999995,0.6666666666666666,0.7245430809399478,0.05,0.18181818181818182,0.0967741935483871,Pierre-Emile Højbjerg,0,1
רומן זובנין,5,0,M,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,5,439,0,2,1.0,7.01,0.625,0.6174402250351617,0.0,0.18181818181818182,0.07692307692307693,Roman Zobnin,0,1
תומאס דילייני,5,0,M,דנמרק,0.7458117240666777,0,0,פינלנד,0.04697682260816799,0,0,8,685,0,2,0.75,7.2,0.8888888888888888,0.8942558746736292,0.0,0.18181818181818182,0.06451612903225806,Thomas Delaney,0,1
ג'ו מורל,4,0,M,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,6,622,0,1,0.2,6.755,0.75,0.8638888888888889,0.0,0.1111111111111111,0.05555555555555555,Joe Morrell,0,1
הארי קיין,15,0,FW,אנגליה,0.8693609080358129,0,0,קרואטיה,0.5556789126350667,0,0,7,627,2,2,3.75,7.41,0.875,0.8881019830028328,0.125,0.15384615384615385,0.13793103448275862,Harry Kane,1,0
רומלו לוקאקו,14,0,FW,בלגיה,0.9179063105527637,0,0,רוסיה,0.366186018983931,0,0,7,630,7,1,3.15,7.539999999999999,0.7777777777777778,0.7777777777777778,0.25,0.05,0.16666666666666666,Romelu Lukaku,1,1
סרג' גנאברי,13,0,FW,גרמניה,0.7603312730167239,0,0,צרפת,0.9571898174009289,0,0,7,626,2,2,2.75,7.265000000000001,0.875,0.8540245566166439,0.13333333333333333,0.16666666666666666,0.14814814814814814,Serge Gnabry,0,0
רוברט לבנדובסקי,13,0,FW,פולין,0.43606352344699884,0,0,סלובקיה,0.12769003786816638,0,0,6,429,5,2,2.75,7.605,0.75,0.5704787234042553,0.38461538461538464,0.15384615384615385,0.2692307692307692,Robert Lewandowski,1,0
ממפיס דפאיי,12,0,FW,הולנד,0.7444165802422154,0,0,אוקראינה,0.398685614063681,0,0,8,708,4,3,6.15,8.26,0.8888888888888888,0.8740740740740741,0.2222222222222222,0.21428571428571427,0.21875,Memphis Depay,1,1
ארטם דזיובה,10,0,FW,רוסיה,0.366186018983931,0,0,בלגיה,0.9179063105527637,0,0,7,619,5,2,3.0,7.88,0.875,0.870604781997187,0.3333333333333333,0.18181818181818182,0.2692307692307692,Artem Dzyuba,1,1
גארת' בייל,10,0,FW,וויילס,0.43758096347044995,0,0,שווייץ,0.6347220497687727,0,0,6,461,0,4,2.75,7.27,0.75,0.6402777777777777,0.0,0.4444444444444444,0.2222222222222222,Gareth Bale,1,1
האריס ספרוביץ',9,0,FW,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,7,615,2,1,3.4,7.05,1.0,0.9761904761904762,0.2,0.125,0.16666666666666666,Haris Seferovic,0,1
בוראק אילמאז,8,0,FW,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,6,548,4,0,2.4,7.025,0.75,0.8082595870206489,0.25,0.0,0.16,Burak Yilmaz,1,1
בריל אמבולו,8,0,FW,שווייץ,0.6347220497687727,0,0,וויילס,0.43758096347044995,0,0,5,408,1,3,0.85,7.175,0.7142857142857143,0.6476190476190476,0.1,0.375,0.2222222222222222,Breel Embolo,0,1
טימו פוקי,6,0,FW,פינלנד,0.04697682260816799,0,0,דנמרק,0.7458117240666777,0,0,8,706,5,1,3.6,7.48,1.0,1.0,0.5,0.14285714285714285,0.35294117647058826,Teemu Pukki,1,1
קנאן קארמאן,6,0,FW,טורקיה,0.6337932201305448,0,0,איטליה,0.9208837109446589,0,0,8,678,3,1,1.4,6.895,1.0,1.0,0.1875,0.1111111111111111,0.16,Kenan Karaman,0,1
אדם סאלאי,5,0,FW,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,6,512,2,1,2.25,6.925,0.75,0.7111111111111111,0.11764705882352941,0.09090909090909091,0.10714285714285714,Ádám Szalai,1,0
נמניה ניקוליץ',5,0,FW,הונגריה,0.15166163251232578,0,0,פורטוגל,0.823428402144593,0,0,5,406,2,3,0.75,6.975,0.625,0.5638888888888889,0.11764705882352941,0.2727272727272727,0.17857142857142858,Nemanja Nikolic,0,0
ריאן כריסטי,4,0,FW,סקוטלנד,0.18797231776519688,0,0,צ`כיה,0.4328339833197214,0,0,5,493,2,1,2.15,7.38,0.625,0.6847222222222222,0.16666666666666666,0.1,0.13636363636363635,Ryan Christie,1,0
